num_bikes_available;num_docks_available;num_ebikes_available;station_id;num_bikes_disabled;last_reported;is_installed;num_docks_disabled;time;total_docks;per_num_docks_available;per_num_bikes_available;name;lat;lon;capacity_original;zipCode;capacity_zip_sum
3;19;1;9c1c3499-1b11-471f-b59a-87d9e27e15c5;1;1709648316;1;0;05-03-24 14:18;23;826.086.956.521.739;13.043.478.260.869.500;Broadway & W 142 St;40.824.686;-73.951.947;23;10031;411
1;21;1;4f814d78-5d8d-458b-877e-2ca449b865be;0;1709648318;1;0;05-03-24 14:18;23;9.130.434.782.608.690;43.478.260.869.565.200;Riverside Dr & W 148 St;40.829.114;-73.950.426;22;10031;411
3;16;2;85b77b8d-32b8-4049-a407-64319916e2c5;1;1709648346;1;1;05-03-24 14:19;21;7.619.047.619.047.610;14.285.714.285.714.200;Amsterdam Ave & W 152 St;40.829.523;-73.944.279;20;10031;411
1;18;1;7f6674c4-5568-4766-b172-0385348ae184;1;1709648349;1;0;05-03-24 14:19;20;90.0;5.0;Amsterdam Ave & W 136 St;40.819.746;-73.951.819;21;10031;411
12;14;5;1d8e51b0-8131-4c1f-93fb-f04952c157c0;4;1709648355;1;0;05-03-24 14:19;31;4.516.129.032.258.060;3.870.967.741.935.480;W 146 St & Broadway;40.826.969;-73.949.738;30;10031;411
5;15;4;4aa6bb27-b76b-444e-a3ce-6fb25b822494;1;1709648371;1;0;05-03-24 14:19;24;62.5;20.833.333.333.333.300;Riverside Dr & W 153 St;40.832.164;-73.949.702;21;10031;411
7;15;5;3134c2d4-b090-4eb8-ab44-6f9622098f72;1;1709648373;1;0;05-03-24 14:19;27;5.555.555.555.555.550;25.925.925.925.925.900;W 148 St & Amsterdam Ave;40.827.075;-73.945.909;23;10031;411
4;20;2;54df610f-0e47-4958-98ca-37bb1b1c4dca;0;1709648377;1;0;05-03-24 14:19;26;7.692.307.692.307.690;15.384.615.384.615.300;Convent Ave & W 151 St;4.082.831;-73.942.924;24;10031;411
9;12;3;fe6f022b-7fdb-44fe-80bb-cbfc500959bf;2;1709648378;1;0;05-03-24 14:19;24;50.0;37.5;W 140 St & Riverside Dr;40.824.013;-73.954.743;23;10031;411
4;19;4;bb0ce308-e5d9-48c7-9f4b-cf0120f2c39a;1;1709648381;1;0;05-03-24 14:19;27;7.037.037.037.037.030;14.814.814.814.814.800;W 145 St & Amsterdam Ave;40.825.244;-73.947.257;24;10031;411
14;12;13;01a1343d-9c7b-4a83-8a5a-a600187f19c4;4;1709648382;1;0;05-03-24 14:19;39;3.076.923.076.923.070;358.974.358.974.359;Riverside Dr & W 138 St;40.823.168;-73.955.857;30;10031;411
0;18;0;c8060816-b4aa-4fd9-bc66-af28bf61dc87;2;1709648382;1;0;05-03-24 14:19;18;100.0;0.0;Hamilton Pl & W 140 St;40.822.756;-73.951.346;21;10031;411
5;13;2;ab79da3d-f92a-42de-a76d-e05b5d7e724c;1;1709648386;1;0;05-03-24 14:19;20;65.0;25.0;Broadway & W 153 St;40.831.327;-73.946.665;20;10031;411
4;28;4;ccaadb70-6c87-4ccc-9914-a3167bd1bc0e;0;1709648387;1;1;05-03-24 14:19;36;7.777.777.777.777.770;1.111.111.111.111.110;Riverside Dr & W 145 St;40.827.305;-73.951.989;35;10031;411
9;14;4;8f1fdf4b-ecca-4f03-b04c-e10fe596e2c7;1;1709648388;1;0;05-03-24 14:19;27;5.185.185.185.185.180;3.333.333.333.333.330;St Nicholas Ave & W 150 St;40.827.212;-73.942.722;26;10031;411
8;11;7;a1112e04-bc50-4782-b3d6-bb5902c0e8db;2;1709648392;1;0;05-03-24 14:19;26;4.230.769.230.769.230;3.076.923.076.923.070;Broadway & W 133 St;408.190.344;-73.956.156;21;10031;411
9;16;5;563389a0-d90f-4155-9c50-528459df26aa;1;1709648414;1;0;05-03-24 14:20;30;53.333.333.333.333.300;30.0;Broadway & W 138 St;4.082.182;-7.395.353;27;10031;411